# Venue categories - hand-maintained source, merged on top of the
# TicketPortal export by tools/build_venue_tiers.py.
#
# See tools/venue_categories.sample.csv for the format and what each
# column means. Edit this file directly, or merge another file in with:
#     python tools/build_venue_tiers.py --import <file.csv>
# Then rebuild:
#     python tools/build_venue_tiers.py

venue,section,row_from,row_to,tier,sort
darrell k. royal - texas memorial stadium,TOUCHDOWN CLUB 17,,,Other,
darrell k. royal - texas memorial stadium,TOUCHDOWN CLUB 17 C,,,Other,
darrell k. royal - texas memorial stadium,TOUCHDOWN CLUB 17C,,,Other,
darrell k. royal - texas memorial stadium,TOUCHDOWN CLUB 18,,,Other,
darrell k. royal - texas memorial stadium,TOUCHDOWN CLUB 18 C,,,Other,
darrell k. royal - texas memorial stadium,TOUCHDOWN CLUB 18C,,,Other,
darrell k. royal - texas memorial stadium,TOUCHDOWN CLUB 19,,,Other,
darrell k. royal - texas memorial stadium,TOUCHDOWN CLUB 19 C,,,Other,
darrell k. royal - texas memorial stadium,TOUCHDOWN CLUB 19C,,,Other,
darrell k. royal - texas memorial stadium,TRINITY,,,Other,
darrell k. royal - texas memorial stadium,TRINITY GARAGE,,,Other,
darrell k. royal - texas memorial stadium,TRINITY PARKING,,,Other,
darrell k. royal - texas memorial stadium,UDE:128,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDN:112,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDN:113,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDN:115,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDN:117,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDN:118,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDN;112,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDN;113,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDN;117,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDW:102,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDW:103,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDW:106,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDW:108,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDW:109,,,Lower (100s),
darrell k. royal - texas memorial stadium,UDW;108,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 101,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 102,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 103,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 104,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 105,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 106,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 107,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 108,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 109,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 111,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 112,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 113,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 114,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 115,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 116,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 117,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 118,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 119,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 120,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 121,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 122,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 123,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 124,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 125,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 126,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 127,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 128,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 129,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 130,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 131,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER 132,,,Lower (100s),
darrell k. royal - texas memorial stadium,UPPER LEVEL,,,Other,
darrell k. royal - texas memorial stadium,UPPER SIDELINE,,,Other,
darrell k. royal - texas memorial stadium,,,,Cat A - Texas SL Between 30YL,1
darrell k. royal - texas memorial stadium,,,,Cat B - Visitor SL Between 30YL,2
darrell k. royal - texas memorial stadium,,,,Cat C - Texas SL 10-30YL,3
darrell k. royal - texas memorial stadium,,,,Cat D - Visitor SL 10-30YL,4
darrell k. royal - texas memorial stadium,,,,Club / Mezz (200s),6
darrell k. royal - texas memorial stadium,,,,Floor / GA,9
darrell k. royal - texas memorial stadium,,,,Lower (100s),5
darrell k. royal - texas memorial stadium,,,,Other,0
darrell k. royal - texas memorial stadium,,,,Upper (300s),8
darrell k. royal - texas memorial stadium,,,,Upper (400+),7
"empower field at mile high denver, co",100,,,Cat C - Lower Corner,
"empower field at mile high denver, co",101,,,Cat B - Broncos Lower Sideline,
"empower field at mile high denver, co",102,,,Cat B - Broncos Lower Sideline,
"empower field at mile high denver, co",103,,,Cat B - Broncos Lower Sideline,
"empower field at mile high denver, co",104,,,Cat A - Broncos Lower Center 3,
"empower field at mile high denver, co",105,,,Cat A - Broncos Lower Center 3,
"empower field at mile high denver, co",106,,,Cat A - Broncos Lower Center 3,
"empower field at mile high denver, co",107,,,Cat B - Broncos Lower Sideline,
"empower field at mile high denver, co",108,,,Cat B - Broncos Lower Sideline,
"empower field at mile high denver, co",109,,,Cat B - Broncos Lower Sideline,
"empower field at mile high denver, co",110,,,Cat C - Lower Corner,
"empower field at mile high denver, co",111,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",112,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",113,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",114,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",115,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",116,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",117,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",118,,,Cat C - Lower Corner,
"empower field at mile high denver, co",119,,,Cat B1 - Visitors Lower Sideline,
"empower field at mile high denver, co",120,,,Cat B1 - Visitors Lower Sideline,
"empower field at mile high denver, co",121,,,Cat B1 - Visitors Lower Sideline,
"empower field at mile high denver, co",122,,,Cat A1 - Visitors Lower Center 3,
"empower field at mile high denver, co",123,,,Cat A1 - Visitors Lower Center 3,
"empower field at mile high denver, co",124,,,Cat A1 - Visitors Lower Center 3,
"empower field at mile high denver, co",125,,,Cat B1 - Visitors Lower Sideline,
"empower field at mile high denver, co",126,,,Cat B1 - Visitors Lower Sideline,
"empower field at mile high denver, co",127,,,Cat B1 - Visitors Lower Sideline,
"empower field at mile high denver, co",128,,,Cat C - Lower Corner,
"empower field at mile high denver, co",129,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",130,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",131,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",132,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",133,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",134,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",135,,,Cat D - Lower Endzone,
"empower field at mile high denver, co",136,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",140,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",141,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",142,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",1422 MARKET ST. - 1.1 MI FROM VENUE,,,Upper (400+),
"empower field at mile high denver, co",143,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",144,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",1442 5TH ST,,,Upper (400+),
"empower field at mile high denver, co",1442 5TH ST / 1MILES OVER A 22 MINS WALK,,,Upper (400+),
"empower field at mile high denver, co",145,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",146,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",147,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",148,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",149,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",150,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",1515 WYNKOOP ST / 1.5MILES OVER A 35 MINS WALK,,,Upper (400+),
"empower field at mile high denver, co",1515 WYNKOOP ST PARKING GARAGE,,,Upper (400+),
"empower field at mile high denver, co",1515 WYNKOOP ST. GARAGE - 1.1 MI FROM VENUE,,,Upper (400+),
"empower field at mile high denver, co",1530 PLATTE ST,,,Upper (400+),
"empower field at mile high denver, co",1530 PLATTE ST.,,,Upper (400+),
"empower field at mile high denver, co",1550 PLATTE ST.,,,Upper (400+),
"empower field at mile high denver, co",1550 PLATTE ST/1.2ML OVER A 27 MINS WALK,,,Upper (400+),
"empower field at mile high denver, co",1560 MARKET ST GARAGE,,,Upper (400+),
"empower field at mile high denver, co",200 LEVEL SUITE,,,Other,
"empower field at mile high denver, co",201,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",202,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",203,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",204,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",205,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",206,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",207,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",208,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",209,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",210,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",211,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",212,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",2121 CHILDREN'S MUSEUM DR,,,Upper (400+),
"empower field at mile high denver, co",213,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",214,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",215,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",2150 W 29TH AVE.,,,Upper (400+),
"empower field at mile high denver, co",2150 W 29TH AVE/1.2ML OVER A 27 MINS WALK,,,Upper (400+),
"empower field at mile high denver, co",216,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",217,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",218,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",219,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",220,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",221,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",222,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",223,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",224,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",225,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",226,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",227,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",228,,,Cat G - 200s (Endzones),
"empower field at mile high denver, co",229,,,Cat G - 200s (Endzones),
"empower field at mile high denver, co",230,,,Cat G - 200s (Endzones),
"empower field at mile high denver, co",231,,,Cat G - 200s (Endzones),
"empower field at mile high denver, co",232,,,Cat G - 200s (Endzones),
"empower field at mile high denver, co",233,,,Cat G - 200s (Endzones),
"empower field at mile high denver, co",2332 15TH ST./1.2ML OVER A 27 MINS WALK,,,Upper (400+),
"empower field at mile high denver, co",234,,,Cat G - 200s (Endzones),
"empower field at mile high denver, co",235,,,Cat G - 200s (Endzones),
"empower field at mile high denver, co",236,,,Cat G - 200s (Endzones),
"empower field at mile high denver, co",237,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",2375 15TH ST.,,,Upper (400+),
"empower field at mile high denver, co",2375 15TH ST. - 1.0 MI FROM VENUE,,,Upper (400+),
"empower field at mile high denver, co",2375 15TH ST/1.2ML OVER A 27 MINS WALK,,,Upper (400+),
"empower field at mile high denver, co",238,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",239,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",240,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",2401 15TH ST/1.2ML A 27 MINS WALK FROM THE VENUE,,,Upper (400+),
"empower field at mile high denver, co",241,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",242,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",243,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",244,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",245,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",246,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",2500 W 26TH AVE - DIAMOND HILL LOT,,,Upper (400+),
"empower field at mile high denver, co",2500 W 26TH AVE.,,,Upper (400+),
"empower field at mile high denver, co",2868 VALLEJO ST.,,,Upper (400+),
"empower field at mile high denver, co",300,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",301,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",302,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",303,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",304,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",305,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",306,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",307,,,Cat E - Broncos Center Clubs,
"empower field at mile high denver, co",308,,,Cat E - Broncos Center Clubs,
"empower field at mile high denver, co",309,,,Cat E - Broncos Center Clubs,
"empower field at mile high denver, co",310,,,Cat E - Broncos Center Clubs,
"empower field at mile high denver, co",311,,,Cat E - Broncos Center Clubs,
"empower field at mile high denver, co",312,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",313,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",314,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",315,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",316,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",317,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",318,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",319,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",319 WALNUT ST DENVER CO,,,Upper (300s),
"empower field at mile high denver, co",319 WALNUT ST. - LOT,,,Upper (300s),
"empower field at mile high denver, co",320,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",321,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",322,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",323,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",324,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",325,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",326,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",327,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",328,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",329,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",330,,,Cat H - 300s Non-Club,
"empower field at mile high denver, co",331,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",332,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",333,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",334,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",335,,,Cat E1 - Visitors Center Clubs,
"empower field at mile high denver, co",336,,,Cat E1 - Visitors Center Clubs,
"empower field at mile high denver, co",337,,,Cat E1 - Visitors Center Clubs,
"empower field at mile high denver, co",338,,,Cat E1 - Visitors Center Clubs,
"empower field at mile high denver, co",339,,,Cat E1 - Visitors Center Clubs,
"empower field at mile high denver, co",340,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",341,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",342,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",343,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",344,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",345,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",346,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",403,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",404,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",405,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",406,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",407,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",408,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",409,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",410,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",411,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",412,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",413,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",414,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",415,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",416,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",430,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",431,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",432,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",433,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",434,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",435,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",436,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",437,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",438,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",439,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",440,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",441,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",442,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",443,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",500,,,Cat K - Upper Corner,
"empower field at mile high denver, co",500 WAZEE ST / 1MILES OVER A 22 MINS WALK,,,Upper (400+),
"empower field at mile high denver, co",500 WAZEE ST.,,,Upper (400+),
"empower field at mile high denver, co",501,,,Cat K - Upper Corner,
"empower field at mile high denver, co",502,,,Cat K - Upper Corner,
"empower field at mile high denver, co",503,,,Cat K - Upper Corner,
"empower field at mile high denver, co",504,,,Cat J - Broncos Upper Sideline,
"empower field at mile high denver, co",505,,,Cat J - Broncos Upper Sideline,
"empower field at mile high denver, co",506,,,Cat J - Broncos Upper Sideline,
"empower field at mile high denver, co",507,,,Cat I - Broncos Upper Center 3,
"empower field at mile high denver, co",508,,,Cat I - Broncos Upper Center 3,
"empower field at mile high denver, co",509,,,Cat I - Broncos Upper Center 3,
"empower field at mile high denver, co",510,,,Cat J - Broncos Upper Sideline,
"empower field at mile high denver, co",511,,,Cat J - Broncos Upper Sideline,
"empower field at mile high denver, co",512,,,Cat J - Broncos Upper Sideline,
"empower field at mile high denver, co",513,,,Cat K - Upper Corner,
"empower field at mile high denver, co",514,,,Cat K - Upper Corner,
"empower field at mile high denver, co",515,,,Cat K - Upper Corner,
"empower field at mile high denver, co",516,,,Cat K - Upper Corner,
"empower field at mile high denver, co",517,,,Cat L - Upper Endzone,
"empower field at mile high denver, co",518,,,Cat L - Upper Endzone,
"empower field at mile high denver, co",519,,,Cat L - Upper Endzone,
"empower field at mile high denver, co",520,,,Cat L - Upper Endzone,
"empower field at mile high denver, co",521,,,Cat L - Upper Endzone,
"empower field at mile high denver, co",522,,,Cat L - Upper Endzone,
"empower field at mile high denver, co",523,,,Cat L - Upper Endzone,
"empower field at mile high denver, co",524,,,Cat L - Upper Endzone,
"empower field at mile high denver, co",525,,,Cat L - Upper Endzone,
"empower field at mile high denver, co",526,,,Cat K - Upper Corner,
"empower field at mile high denver, co",527,,,Cat K - Upper Corner,
"empower field at mile high denver, co",528,,,Cat K - Upper Corner,
"empower field at mile high denver, co",529,,,Cat K - Upper Corner,
"empower field at mile high denver, co",530,,,Cat J1 - Visitors Upper Sideline,
"empower field at mile high denver, co",531,,,Cat J1 - Visitors Upper Sideline,
"empower field at mile high denver, co",532,,,Cat J1 - Visitors Upper Sideline,
"empower field at mile high denver, co",533,,,Cat I1 - Visitors Upper Center 3,
"empower field at mile high denver, co",534,,,Cat I1 - Visitors Upper Center 3,
"empower field at mile high denver, co",535,,,Cat I1 - Visitors Upper Center 3,
"empower field at mile high denver, co",536,,,Cat J1 - Visitors Upper Sideline,
"empower field at mile high denver, co",537,,,Cat J1 - Visitors Upper Sideline,
"empower field at mile high denver, co",538,,,Cat J1 - Visitors Upper Sideline,
"empower field at mile high denver, co",539,,,Cat K - Upper Corner,
"empower field at mile high denver, co",540,,,Cat K - Upper Corner,
"empower field at mile high denver, co",541,,,Cat K - Upper Corner,
"empower field at mile high denver, co",542,,,Cat K - Upper Corner,
"empower field at mile high denver, co",763 W 23RD AVE.,,,Upper (400+),
"empower field at mile high denver, co",A-VIP,,,Other,
"empower field at mile high denver, co",ADA135,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",ADA322,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",ADA325,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",B-VIP,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",BRONCOS PREMIUM,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",BRONCOS SIDELINE,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",BRYANT ST LOT,,,Other,
"empower field at mile high denver, co",BVALET,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C-VIP,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C107,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C108,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C109,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C110,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C111,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C112,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C134,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C135,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C136,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C137,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C138,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",C139,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",CHILDRENS MUSEUM PARKING LOT,,,Other,
"empower field at mile high denver, co",CLUB 300,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 301,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 302,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 303,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 304,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 305,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 306,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 307,,,Cat E - Broncos Center Clubs,
"empower field at mile high denver, co",CLUB 308,,,Cat E - Broncos Center Clubs,
"empower field at mile high denver, co",CLUB 309,,,Cat E - Broncos Center Clubs,
"empower field at mile high denver, co",CLUB 310,,,Cat E - Broncos Center Clubs,
"empower field at mile high denver, co",CLUB 311,,,Cat E - Broncos Center Clubs,
"empower field at mile high denver, co",CLUB 312,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 313,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 314,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 315,,,Cat F - Broncos Other Clubs,
"empower field at mile high denver, co",CLUB 331,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB 332,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB 333,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB 334,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB 335,,,Cat E1 - Visitors Center Clubs,
"empower field at mile high denver, co",CLUB 336,,,Cat E1 - Visitors Center Clubs,
"empower field at mile high denver, co",CLUB 337,,,Cat E1 - Visitors Center Clubs,
"empower field at mile high denver, co",CLUB 338,,,Cat E1 - Visitors Center Clubs,
"empower field at mile high denver, co",CLUB 339,,,Cat E1 - Visitors Center Clubs,
"empower field at mile high denver, co",CLUB 340,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB 341,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB 342,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB 343,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB 344,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB 345,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB 346,,,Cat F1 - Visitors Other Clubs,
"empower field at mile high denver, co",CLUB LEVEL,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",CLUB PREMIUM,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",D-VIP,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",DELUXE HOTEL,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",DENVER AQUARIUM PARKING LOT,,,Other,
"empower field at mile high denver, co",DIAMOND HILL LOT,,,Other,
"empower field at mile high denver, co",E,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",F,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",FIELD LEVEL,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",G-VIP,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",H,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",I-VIP,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",J-VIP,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",LARIMER SQUARE GARAGE,,,Other,
"empower field at mile high denver, co",LOT E,,,Other,
"empower field at mile high denver, co",LOT F,,,Other,
"empower field at mile high denver, co",LOT G-VIP,,,Other,
"empower field at mile high denver, co",LOT H,,,Other - (Wrong Stadium/Category Listing),
"empower field at mile high denver, co",LOT M,,,Other,
